id,facility_name,country,country_code,text_content,specialties,has_icu,has_emergency,source_url,latitude,longitude
LR_lofa_foya_etu,Lofa (Foya) ETU,null,LR,Lofa (Foya) ETU hospital LR,null,true,true,https://www.openstreetmap.org/node/3198032310,8.3788647,-10.2057693
MG_mat_rnit_,Matérnité,null,MG,Matérnité hospital MG,null,true,true,https://www.openstreetmap.org/node/6576246269,-23.5516195,43.7621402
MG_centre_hospitalier_de_r_f_rence_r_gionale_ihosy,Centre Hospitalier de Référence Régionale Ihosy,null,MG,Centre Hospitalier de Référence Régionale Ihosy hospital MG,null,true,true,https://www.openstreetmap.org/node/7502826642,-22.4033564,46.1316048
NE_polyclinique_a_r_soins,Polyclinique Aïr soins,null,NE,Polyclinique Aïr soins hospital NE,null,true,true,https://www.openstreetmap.org/node/7258932886,16.9763479,8.001015
NE_case_de_sate_de_lingui,CASE DE SATE DE LINGUI,null,NE,CASE DE SATE DE LINGUI hospital NE,null,true,true,https://www.openstreetmap.org/node/8568784548,13.4703215,8.9809431
ML_cscom_de_s_goucoura,CSCom de Ségoucoura,null,ML,CSCom de Ségoucoura hospital ML,null,true,true,https://www.openstreetmap.org/node/2163839816,13.4336712,-6.2940804
ML_laboratoire_d_analyse_medicale,Laboratoire d'Analyse Medicale,null,ML,Laboratoire d'Analyse Medicale hospital ML,null,true,true,https://www.openstreetmap.org/node/3463625824,12.6407701,-8.0269043
UG_healthcare_facility_1647438029,Healthcare Facility 1647438029,null,UG,Healthcare Facility 1647438029 hospital UG,null,true,true,https://www.openstreetmap.org/node/1647438029,3.0104432,30.9605342
MW_ntchisi_hospital,Ntchisi Hospital,null,MW,Ntchisi Hospital hospital MW,null,true,true,https://www.openstreetmap.org/node/561309681,-13.3639647,33.9119377
BF_cma_de_kombissiri,CMA de Kombissiri,null,BF,CMA de Kombissiri hospital BF,null,true,true,https://www.openstreetmap.org/node/3387641481,12.0808992,-1.346669
BF_pneumologie,Pneumologie,null,BF,Pneumologie hospital BF,null,true,true,https://www.openstreetmap.org/node/6499502781,11.1707522,-4.3016772
SL_magbenteh_community_hospital,Magbenteh Community Hospital,null,SL,Magbenteh Community Hospital hospital SL,null,true,true,https://www.openstreetmap.org/node/8687827819,8.8774868,-12.0745401
SL_st_maries,St. Maries,null,SL,St. Maries hospital SL,null,true,true,https://www.openstreetmap.org/node/8688288819,8.4628845,-12.2205441
MG_h_pital_de_f_n_rive_est,Hôpital de Fénérive-Est,null,MG,Hôpital de Fénérive-Est hospital MG,null,true,true,https://www.openstreetmap.org/node/671507412,-17.3820097,49.4198526
MG_healthcare_facility_2391522904,Healthcare Facility 2391522904,null,MG,Healthcare Facility 2391522904 hospital MG,null,true,true,https://www.openstreetmap.org/node/2391522904,-15.7165568,46.3052907
MG_dispensaire,Dispensaire,null,MG,Dispensaire hospital MG,null,true,true,https://www.openstreetmap.org/node/4360144272,-14.8355601,47.3285816
ML_h_pital_de_markala,Hôpital de markala,null,ML,Hôpital de markala hospital ML,null,true,true,https://www.openstreetmap.org/node/2527959020,13.6888181,-6.0712357
ML_h_pital_nianankoro_fomba,Hôpital Nianankoro Fomba,null,ML,Hôpital Nianankoro Fomba hospital ML,null,true,true,https://www.openstreetmap.org/node/4506775372,13.4462824,-6.260788
ML_cscom_de_kalak_,CSCOM de Kalakè,null,ML,CSCOM de Kalakè hospital ML,null,true,true,https://www.openstreetmap.org/node/4757784569,12.9630231,-6.853337
UG_st_martins_medical_centre,St Martins Medical Centre,null,UG,St Martins Medical Centre hospital UG,null,true,true,https://www.openstreetmap.org/node/560542965,1.0756393,34.1772103
UG_uganda_red_cross,Uganda Red Cross,null,UG,Uganda Red Cross hospital UG,null,true,true,https://www.openstreetmap.org/node/560551840,1.0724469,34.1746525
UG_kabale_regional_hospital,Kabale Regional Hospital,null,UG,Kabale Regional Hospital hospital UG,null,true,true,https://www.openstreetmap.org/node/1701146407,-1.2510457,29.9889878
MW_mangochi_district_hospital,Mangochi District Hospital,null,MW,Mangochi District Hospital hospital MW,null,true,true,https://www.openstreetmap.org/node/902487975,-14.481954,35.2651307
MW_loudon_hospital,Loudon Hospital,null,MW,Loudon Hospital hospital MW,null,true,true,https://www.openstreetmap.org/node/1023278824,-12.138055,33.4751639
MW_midzemba_health_center,Midzemba Health Center,null,MW,Midzemba Health Center hospital MW,null,true,true,https://www.openstreetmap.org/node/1269919855,-15.3476222,34.8404944
MW_mikolongwe_health_centre,Mikolongwe Health Centre,null,MW,Mikolongwe Health Centre hospital MW,null,true,true,https://www.openstreetmap.org/node/1692074129,-15.9013616,35.1841144
MW_namadidi_health_center,Namadidi Health Center,null,MW,Namadidi Health Center hospital MW,null,true,true,https://www.openstreetmap.org/node/4726583501,-15.4101839,35.2476252
BF_csps_de_tanvi,CSPS de Tanvi,null,BF,CSPS de Tanvi hospital BF,null,true,true,https://www.openstreetmap.org/node/6235837136,12.2480021,-1.3289917
ET_selihom_clinic,Selihom Clinic,null,ET,Selihom Clinic hospital ET,null,true,true,https://www.openstreetmap.org/node/800904452,8.9380687,38.7468861
ET_arsho_laboratories,arsho laboratories,null,ET,arsho laboratories hospital ET,null,true,true,https://www.openstreetmap.org/node/4369176589,9.0156828,38.7844988
LR_masating_leper_colony,Masating Leper Colony,null,LR,Masating Leper Colony hospital LR,null,true,true,https://www.openstreetmap.org/node/2996153471,6.9306311,-10.9943934
LR_benson_hospital,Benson Hospital,null,LR,Benson Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/3040192808,6.2834063,-10.6900157
LR_gw_harley_hospital_dr,GW Harley Hospital Dr,null,LR,GW Harley Hospital Dr hospital LR,null,true,true,https://www.openstreetmap.org/node/4131217604,7.3572853,-8.7143909
MG_vezo_hopital,Vezo Hopital,null,MG,Vezo Hopital hospital MG,null,true,true,https://www.openstreetmap.org/node/4671059254,-22.0766435,43.2402844
MG_polyclinique_d_ilafy,Polyclinique d'Ilafy,null,MG,Polyclinique d'Ilafy hospital MG,null,true,true,https://www.openstreetmap.org/node/5248407943,-18.854653,47.5502658
NE_centre_de_recherche_m_dicale_et_sanitaire,Centre de Recherche Médicale et Sanitaire,null,NE,Centre de Recherche Médicale et Sanitaire hospital NE,null,true,true,https://www.openstreetmap.org/node/6518603095,13.5284305,2.0888117
ML_cscom_diora,CSCOM Diora,null,ML,CSCOM Diora hospital ML,null,true,true,https://www.openstreetmap.org/node/5056518221,12.8594072,-4.676668
UG_wi_anaka_health_centre,Wi Anaka health centre,null,UG,Wi Anaka health centre hospital UG,null,true,true,https://www.openstreetmap.org/node/1647108220,2.5786335,31.7759892
